snid,x0,t0,x1,c,z,snra,sndec
31814,6.66113232766e-07,60277.1337927,-0.522169832444,0.202430186222,1.00003355604,57.2470240884,-28.2333942744
31817,1.44572666591e-06,60748.2907673,-1.096146461,-0.0411108503924,1.00076843603,53.7596057897,-29.0706384909
31841,1.52860084308e-06,61537.8930902,0.769129114715,0.00834326801824,1.00028924222,52.9321165856,-32.2363485988
31861,1.87974043875e-06,62164.1240236,0.055059774091,-0.0225012192354,1.00072264963,53.6971848908,-30.3854977416
31886,1.22873180784e-06,61697.3865091,0.0723440980852,0.0315288563354,1.00094639958,55.4043451529,-29.9446416004
31890,1.4742773132e-06,62543.7217931,0.386758604786,-0.028828955992,1.00027880216,55.3450958605,-29.0562688601
31902,1.22032668809e-06,60502.1158047,0.298026836637,0.0731787211177,1.00070552088,53.8367775392,-31.4748095369
31911,1.45670846898e-06,63113.5564753,0.107791931866,-0.0228666137777,1.000618754,54.3750166819,-31.5738630899
31929,2.08858484628e-06,59799.9376655,-0.864080385512,-0.0293051586922,1.00088701848,53.2521291313,-30.6504064959
31933,1.23507886064e-06,60067.2340695,-0.5834997934,0.0191992453349,1.00098024479,55.6156930575,-27.7553551251
31953,1.2238204049e-06,60938.2854243,0.45391592303,0.0554289349292,1.00046019941,54.9796620476,-31.5448393933
31960,1.12185299224e-06,61597.8660761,0.0495909098796,0.0493369893732,1.0002628475,56.74093743,-31.9703308281
31996,1.22963473864e-06,61002.2534175,-1.78777295169,0.007729988282,1.00080797891,57.1495543043,-31.9079391658
32003,1.58098691309e-06,60061.6694693,-0.153532874519,-0.0367314420522,1.00084101425,56.4289987081,-31.8685451078
32009,2.46247214645e-06,61227.0991197,1.18219386399,-0.00878560343483,1.00071543572,57.3936454828,-28.4516926802
32013,2.51176549594e-06,60194.9644307,-0.0481046499265,-0.0325363850562,1.00052827273,55.1527762567,-27.6639785895
32052,1.39426852162e-06,61253.6044261,1.11667686259,0.135014989397,1.00053867587,55.2919816291,-28.0534309609
32064,1.59427855706e-06,60209.954235,0.830287968262,0.03199722147,1.0007208612,56.0679530334,-27.863184593
32090,8.65531484141e-07,60432.2833546,-0.425229875533,0.180332458541,1.00036095343,55.0415813851,-27.7549786123
32092,1.97338420324e-06,62709.6417878,1.65948742803,-0.0506900340437,1.0006670418,53.2358536821,-28.9023471329
32111,1.09874636864e-06,62531.1683589,0.121035412363,0.0506667943506,1.00071259305,54.7313415492,-28.1815744612
32132,1.69143657311e-06,60171.5998901,-0.400988049368,-0.0199924214465,1.00054372441,52.8884550232,-30.49408209
32145,1.59844901472e-06,60436.2019539,0.633357768348,-0.0707973164756,1.00057572601,55.5153822485,-29.1258740273
