snid,x0,t0,x1,c,z,snra,sndec
0,0.000229052520468,61171.3813928,1.13470260763,-0.0449887339606,0.12708366,53.427971701,-27.8144152099
2,0.000159939609619,61586.2680443,0.34114025911,-0.0436087497836,0.14221931,53.6098538151,-28.318485093
3,0.0002538058469,61168.9267331,0.967811726639,-0.108998772575,0.15042865,53.4271843365,-28.5602903946
4,0.000140440581198,61114.3424776,-1.50840367753,-0.0622279935118,0.14067662,53.2807919672,-27.9357694755
5,8.6471185086e-05,60785.7220967,0.265814502234,0.0975119703016,0.15132463,53.4449357258,-28.1406395597
6,0.000111184315493,60326.9675142,-1.15641376014,0.00553829570229,0.15362763,53.5216577212,-27.4175608623
7,9.50967581497e-05,61840.3390272,-0.95413028806,-0.103676346135,0.1680764,53.7014159087,-27.7761304387
8,0.000152210026139,60673.7395589,0.103539323168,0.0126618896866,0.17565584,53.2922901982,-27.9029733144
9,9.37846029415e-05,60553.9195541,-0.195047488006,0.0487504802092,0.16808259,53.6734452573,-27.7905540186
10,5.25366130063e-05,61847.1384896,-1.92535969162,0.100379007624,0.17579854,53.2803174044,-28.1172886094
11,0.000112067491691,61511.3686441,1.48178860772,-0.0164468155265,0.17567444,53.3141103471,-27.9462935641
12,6.36628469303e-05,60071.2168005,-0.546659012513,-0.0413260749576,0.20833528,53.3093234014,-27.6469805417
13,7.36695106742e-05,61454.5601426,-0.831613855407,-0.0423634365462,0.18827212,53.6545373788,-28.5648178407
14,6.15405606982e-05,60253.2055096,0.988897918697,0.118615435248,0.19092262,53.3008075462,-28.1893370836
16,7.90669184614e-05,62697.0098181,0.999765918611,0.0174369501406,0.18004525,53.3628209464,-27.7146938284
17,6.71890139455e-05,61383.9644564,0.381478782516,0.0310103117098,0.18525982,53.2077794898,-27.5135511166
18,9.04026321379e-05,62669.9494216,1.26297430608,-0.0268169992492,0.21934688,53.6792176983,-28.013350976
19,6.97182423118e-05,59870.7059911,0.388248325364,0.00673023529385,0.20538294,53.6787624417,-27.8990700334
20,7.30256638026e-05,61424.1482289,0.651350064772,0.0274832581214,0.21992087,53.1975393898,-28.3434176635
21,9.01478135152e-05,59818.295741,1.36909611427,-0.102812873331,0.21985006,53.3716004651,-27.8967776517
22,6.63576938541e-05,61142.6464957,-1.38988572426,-0.0408029267144,0.21401238,53.4427385084,-27.6427688998
23,6.26648662921e-05,59932.3378422,-0.246552285793,-0.1010718442,0.23238695,53.7489980565,-28.5004586334
25,7.54266236096e-05,61758.1203778,-1.39055088037,-0.0114847334484,0.20576239,53.749850135,-27.6896711633
26,7.93286136581e-05,60404.9438022,0.84444399154,0.0397102200429,0.20847023,53.3229319055,-27.6437985833
27,6.55904241088e-05,59970.3517477,0.115850292916,0.0187162418739,0.21978962,53.6297300581,-28.500199364
28,6.36968782454e-05,60384.1176558,0.460360682008,0.00178344882594,0.23608387,53.270750987,-27.2584694918
29,7.22208820259e-05,60856.8659403,0.534003899618,-0.0414819647503,0.23745763,53.5216405351,-28.6378460341
